text,pos,total,pos_unique
l' émeute suppurant comme secret ulcère,"['DET', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN']",6,5
fallut qu' elle vît anniversaire,"['VERB', 'SCONJ', 'PRON', 'VERB', 'NOUN']",5,4
cadavres crevés seine charrie,"['NOUN', 'ADJ', 'NOUN', 'VERB']",4,3
source grâce apparemment tarie,"['NOUN', 'ADV', 'ADV', 'VERB']",4,3
l' enfant femme mains garnisaire,"['DET', 'NOUN', 'ADJ', 'NOUN', 'ADJ']",5,3
qu' elle vît venir cheval guerre,"['PRON', 'PRON', 'VERB', 'VERB', 'NOUN', 'NOUN']",6,3
conduisant tout peuple nom père,"['VERB', 'DET', 'NOUN', 'NOUN', 'NOUN']",5,3
seule devant garde gendarmerie,"['ADJ', 'ADP', 'NOUN', 'NOUN']",4,3
engagée journée ainsi qu' une ouvrière,"['VERB', 'NOUN', 'ADV', 'SCONJ', 'DET', 'NOUN']",6,5
sous vieille oriflamme jeune bannière,"['ADP', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",5,3
jetant toute armée pieds prière,"['VERB', 'DET', 'NOUN', 'NOUN', 'NOUN']",5,3
arborant l' étendard semé broderie,"['VERB', 'DET', 'NOUN', 'VERB', 'NOUN']",5,3
où nom jésus vient argenterie,"['ADV', 'NOUN', 'NOUN', 'VERB', 'NOUN']",5,3
armes orfèvrerie,"['NOUN', 'NOUN']",2,1
filant drapeaux comme filandière,"['VERB', 'NOUN', 'ADP', 'NOUN']",4,3
faisant essanger quelque buandière,"['AUX', 'VERB', 'DET', 'NOUN']",4,4
mettant couler l' énorme chaudière,"['VERB', 'VERB', 'DET', 'ADJ', 'NOUN']",5,4
armes jésus c' est croix équarrie,"['NOUN', 'ADJ', 'PRON', 'AUX', 'NOUN', 'ADJ']",6,4
voilà armement voilà armoirie,"['VERB', 'NOUN', 'VERB', 'NOUN']",4,2
voilà armature armurerie,"['VERB', 'NOUN', 'NOUN']",3,2
rinçant beaux drapeaux l' eau rivière,"['VERB', 'ADJ', 'NOUN', 'DET', 'NOUN', 'NOUN']",6,4
lavant lavoir comme lavandière,"['VERB', 'NOUN', 'ADP', 'NOUN']",4,3
battant battoir comme mercenaire,"['VERB', 'NOUN', 'ADP', 'NOUN']",4,3
armes jésus c' est face maigrie,"['NOUN', 'ADJ', 'PRON', 'AUX', 'NOUN', 'ADJ']",6,4
pleurs sang barbe meurtrie,"['NOUN', 'ADJ', 'NOUN', 'ADJ']",4,2
l' injure l' outrage propre patrie,"['DET', 'NOUN', 'DET', 'VERB', 'ADJ', 'NOUN']",6,4
ravaudant drapeaux comme roturière,"['VERB', 'NOUN', 'ADP', 'NOUN']",4,3
mettant sécher front bandière,"['VERB', 'VERB', 'NOUN', 'ADJ']",4,3
donnant garder quelque vivandière,"['AUX', 'VERB', 'DET', 'NOUN']",4,4
armes jésus c' est foule furie,"['NOUN', 'ADJ', 'PRON', 'AUX', 'NOUN', 'NOUN']",6,4
acclamant barabbas c' est plaidoirie,"['VERB', 'NOUN', 'PRON', 'AUX', 'NOUN']",5,4
c' est tribunal voilà hoirie,"['PRON', 'AUX', 'NOUN', 'VERB', 'NOUN']",5,4
teignant beaux drapeaux comme teinturière,"['VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN']",5,4
faisant repasser quelque culottière,"['AUX', 'VERB', 'DET', 'NOUN']",4,4
adorant bon dieu comme couturière,"['VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN']",5,4
armes jésus c' est cette barbarie,"['NOUN', 'ADJ', 'PRON', 'AUX', 'DET', 'NOUN']",6,5
décurion menant décurie,"['NOUN', 'VERB']",2,2
centurion menant centurie,"['NOUN', 'VERB', 'NOUN']",3,2
armes jésus c' est l' interrogatoire,"['NOUN', 'ADJ', 'PRON', 'AUX', 'DET', 'NOUN']",6,5
lanciers romains debout prétoire,"['NOUN', 'ADJ', 'ADJ', 'NOUN']",4,2
dérisions fusant l' auditoire,"['NOUN', 'VERB', 'DET', 'NOUN']",4,3
armes jésus c' est cette pénurie,"['NOUN', 'ADJ', 'PRON', 'AUX', 'DET', 'NOUN']",6,5
chair exposée toute intempérie,"['NOUN', 'VERB', 'DET', 'NOUN']",4,3
chiens dévorants meute ahurie,"['NOUN', 'ADJ', 'NOUN']",3,2
armes jésus c' est croix dieu,"['NOUN', 'ADJ', 'PRON', 'AUX', 'NOUN', 'NOUN']",6,4
c' est d' être vagabond couchant sans feu ni lieu,"['PRON', 'VERB', 'ADP', 'AUX', 'NOUN', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN']",10,6
trois croix debout sienne milieu,"['NUM', 'NOUN', 'ADJ', 'ADJ', 'NOUN']",5,3
armes jésus c' est cette pillerie,"['NOUN', 'ADJ', 'PRON', 'AUX', 'DET', 'NOUN']",6,5
pauvre troupeau c' est cette loterie,"['ADJ', 'NOUN', 'PRON', 'AUX', 'DET', 'NOUN']",6,5
pauvre trousseau qu' un soldat s' approprie,"['ADJ', 'NOUN', 'SCONJ', 'DET', 'NOUN', 'PRON', 'VERB']",7,6
armes jésus c' est frêle roseau,"['NOUN', 'ADJ', 'PRON', 'AUX', 'ADJ', 'NOUN']",6,4
sang flanc coulant comme ruisseau,"['NOUN', 'NOUN', 'VERB', 'ADP', 'NOUN']",5,3
licteur antique l' antique faisceau,"['NOUN', 'ADJ', 'DET', 'ADJ', 'NOUN']",5,3
armes jésus c' est cette raillerie,"['NOUN', 'ADJ', 'PRON', 'AUX', 'DET', 'NOUN']",6,5
jusqu' à le pied croix c' est cette moquerie,"['ADV', 'ADP', 'DET', 'NOUN', 'NOUN', 'PRON', 'AUX', 'DET', 'NOUN']",9,6
jusqu' à le pied mort c' est brusquerie,"['ADV', 'ADP', 'DET', 'NOUN', 'ADJ', 'PRON', 'AUX', 'NOUN']",8,7
bourreau troupe gouvernement,"['NOUN', 'NOUN', 'NOUN']",3,1
c' est froid sépulcre c' est l' enterrement,"['PRON', 'AUX', 'ADJ', 'NOUN', 'PRON', 'AUX', 'DET', 'NOUN']",8,5
armes jésus c' est désarmement,"['NOUN', 'ADJ', 'PRON', 'AUX', 'NOUN']",5,4
l' avanie l' affront voilà industrie,"['DET', 'NOUN', 'PRON', 'VERB', 'VERB', 'NOUN']",6,4
cendre cailloux voilà métairie,"['NOUN', 'NOUN', 'VERB', 'NOUN']",4,2
appartements duché-pairie,"['NOUN', 'ADJ']",2,2
armes jésus c' est souple arbrisseau,"['NOUN', 'ADJ', 'PRON', 'AUX', 'ADJ', 'NOUN']",6,4
tressé beau front comme frêle réseau,"['VERB', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN']",6,4
scellant royauté d' un parodique sceau,"['VERB', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']",6,5
disciples poltrons voilà confrérie,"['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
pierre chant coq voilà seigneurie,"['NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN']",5,2
voilà lieutenance capitainerie,"['VERB', 'NOUN', 'NOUN']",3,2
lavement mains forfanterie,"['NOUN', 'NOUN', 'NOUN']",3,1
garde sceaux plaisanterie,"['NOUN', 'NOUN', 'NOUN']",3,1
beaux damoiseaux galanterie,"['ADJ', 'NOUN', 'NOUN']",3,2
beaux jouvenceaux c' est boulangerie,"['ADJ', 'NOUN', 'PRON', 'AUX', 'NOUN']",5,4
pain poussière sueur pétrie,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
l' éponge fiel vinaigrerie,"['DET', 'NOUN', 'NOUN', 'NOUN']",4,2
croix bien assemblée double coulisseau,"['NOUN', 'ADV', 'VERB', 'ADJ', 'NOUN']",5,4
l'ironique pancarte engravée ciseau,"['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
tasseau pieds descendant biseau,"['NOUN', 'NOUN', 'VERB', 'NOUN']",4,2
autre bûcheron coupé bois,"['ADJ', 'NOUN', 'VERB', 'NOUN']",4,3
autre charpentier taillé croix,"['ADJ', 'NOUN', 'VERB', 'NOUN']",4,3
lui-même nul autre porté poids,"['PRON', 'DET', 'ADJ', 'VERB', 'NOUN']",5,5
l' image vierge tissu soierie,"['DET', 'NOUN', 'ADJ', 'NOUN', 'NOUN']",5,3
sainte marguerite fleurs draperie,"['ADJ', 'NOUN', 'NOUN', 'NOUN']",4,2
sainte catherine tapisserie,"['ADJ', 'NOUN', 'NOUN']",3,2
où l' on voit saint michel habillé nouveau,"['ADV', 'DET', 'PRON', 'VERB', 'ADJ', 'NOUN', 'VERB', 'ADJ']",8,6
saint-esprit planant sous figure d' oiseau,"['NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN']",6,3
l' archange écrasant satan museau,"['DET', 'NOUN', 'VERB', 'NOUN', 'NOUN']",5,3
satan résiste sorcellerie,"['NOUN', 'VERB', 'NOUN']",3,2
atermoiement grivèlerie,"['ADV', 'NOUN']",2,2
s' est juré d' absorber beauce brie,"['PRON', 'AUX', 'VERB', 'ADP', 'VERB', 'NOUN', 'NOUN']",7,5
saints tête très léger cerceau,"['ADJ', 'NOUN', 'ADV', 'ADJ', 'NOUN']",5,3
bien voir c' est sorte d' arceau,"['ADV', 'VERB', 'PRON', 'AUX', 'NOUN', 'ADP', 'NOUN']",7,6
ouvre paradis jésus berceau,"['VERB', 'NOUN', 'ADJ', 'ADJ']",4,3
regarde saint joseph espièglerie,"['VERB', 'NOUN', 'NOUN', 'NOUN']",4,2
veut tirer barbe vieux récrie,"['VERB', 'VERB', 'NOUN', 'ADJ', 'NOUN']",5,3
